ObjectId,Year,Fund,Workgroup,Organization,Program,Program_Summary,Amount_Requested,Amount_Funded,Amount_Spent
1033,2009,GF,YOP,I Have A Dream Foundation of Boulder County,Leading Through Service Program,,8660,0,0
561,2013,GF,HSF,Emergency Family Assistance Association,Shelter,,,53750,52803
1777,2000,GF,HSF,Partners of Boulder County,One-To-One Mentoring,,,15000,14667
1595,2003,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,165233,149861
61,2018,GF,HOM,Bridge House,Severe Weather Shelter,"Overnight severe weather sheltering to adults experiencing homelessness (Winter, 2018-2019)",0,140000,133507
236,2018,GF,IPD,Native American Rights Fund,Indigenous Peoples Day Celebration - Open House,,1500,1000,976
41,2019,GF,HSF,Mental Health Partners,Behavioral Health Services,"Psychiatric rehabilitation, health & wellness coaching/ case management, peer support & outreach",360347,300000,286977
1007,2008,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,5920,5920,5408
641,2014,GF,HSF,YWCA,Latina Achievement Support,,,25000,22866
287,2017,GF,HSF,Dental Aid,Safety Net Dental Services,,0,125000,115309
1373,2005,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,36439,33742
1344,2002,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,3634,3460
210,2018,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,"Food pantry, short term & transitional housing, financial assistance & case mgmt",150000,150000,146848
1586,2007,GF,YOP,Impact on Education,Music Pathways,,9824,9824,9753
278,2017,GF,HSF,Bridge House,Employment Services and Ready to Work,,0,27000,25130
1100,2009,GF,YOP,Open Studios,Open Studios Educational Links Program,,7500,0,0
1088,2011,GF,HSF,Bridge House,Basic Needs,,,17257,17097
253,2018,GF,YOP,Growing Gardens,Cultiva Youth Project,"Provide stipends to involve diverse youth in organic gardening to teach sustainable agriculture, leadership, entrepreneurial and life skills.",9500,9500,8995
1388,2001,GF,HSF,Dental Aid,Adult Assured Access,,,15821,14919
588,2012,GF,HSF,Dental Aid,Children and Youth Oral Health,,,25000,23067
1019,2010,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,157135,153691
1271,2007,GF,YOP,Mile High Youth Media,Mile High Youth Radio,,30000,0,0
1103,2009,GF,YOP,The Women's Wilderness Institute,Latina Initiative,,13390,0,0
494,2014,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,,,110000,108029
1580,2007,GF,YOP,Boulder County Partners,Partners One-to-One,,13200,8800,8766
1715,1996,GF,HSF,City of Boulder Children Youth and Families,Quality Child Care Links Program,,,10000,9801
1055,2011,GF,HSF,YWCA,Children's Alley,,,68750,63141
990,2008,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,53000,49546
957,2009,GF,HSF,Bridge House,Basic Needs,,,17257,16499
1542,2001,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,25000,24337
1038,2011,GF,HSF,Boulder Shelter for the Homeless,Transitional Housing,,,8000,7571
47,2019,GF,HSF,September Schools Inc.,Integrated Health and Wellness,"Relationship-based education including health and wellness, integrated outdoor time, culinary classes, yoga, group counseling, physical education, parent support and Natural High for high school students who have not thrived in other school settings",86729.05,0,0
1850,1999,GF,HSF,Homestar Child Development Center,Scholarship Program,,,15375,14010
694,2012,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,25000,22675
374,2016,GF,HSF,Boulder County Public Health,Genesister,"Comprehensive sexual ed., assistance in completing education, parent engagement, youth engagement via service learning projects",40000,15000,13767
228,2018,GF,HSF,Sister Carmen Community Center,Bridging Digital Divides,"Skill building in utilizing digital devices and navigating the online ecosystem, and access to necessary devices and the internet",0,10000,9589
569,2014,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Transitional Services for DV Survivors,,,10000,9021
671,2014,GF,MLK,Motus Theater,Dr. Modupe Labode Keynote,,1665,1665,1581
874,2009,GF,YOP,Boulder Pride,LGBTQ Youth Filmmaking Project,,6000,6000,5645
576,2015,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,25000,24498
1797,1997,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,,,93000,90367
995,2008,GF,HSF,Intercambio de Comunidades,Uniting Communities,,,30000,28939
115,2019,HEF,HEF,Audio Information Network of Colorado,Boulder County AINC,"Funding will be used to create Spanish language MP3 player fitness class instructions, exercise and diet guidance, and personal success stories of weight loss and diabetes management for dissemination to sight-impaired or illiterate Latinx community members.",70773,0,0
1377,2005,GF,HSF,Parenting Place,Family Strengthening Program,,,8824,8267
1095,2009,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14675,0,0
881,2009,GF,YOP,Boulder Valley Career & Technical Education Center,BVC-TEC Leadership Immersion,,7635.32,0,0
1190,2009,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,42000,39010
390,2016,GF,HSF,Clinica Campesina Family Health Care Services,Health Care for the Underserved,Comprehensive primary health care with access to integrated behavioral health care and dental care,350000,290000,266605
1152,2011,GF,YOP,I Have A Dream Foundation of Boulder County,Leading Through Service Program,,8000,8000,7397
1336,2002,GF,HSF,BV Women's Health Center,Youth Program,,,17902,17812
1642,1998,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,181101,165938
1065,2010,GF,HSF,Mental Health Partners,Community Infant Program,,,67982,65426
1615,1998,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,18700,16868
78,2018,GF,HRF,square product theatre,Collaboration w/Non-Binary Monologue Project,,5000,2260,2154
1314,2003,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4942
229,2018,GF,HSF,Voices for Children,CASA of Boulder,Provide court-appointed volunteers to advocate for victims of child abuse or neglect during court proceedings,10000,0,0
193,2017,HEF,HEF,YMCA,Healthy Weight and Your Child,"Funding will be used to provide the Healthy Weight and Your Child Course, a family-based weight management intervention to address childhood obesity, for up to 160 total families with 45-60 of those being City of Boulder residents.",28050,28050,25254
545,2013,GF,CEF,Friends of Martin Acres,Summer Festival,,1500,0,0
1292,2007,GF,HSF,Boulder Valley School District,Teen Parent Program,,,19847,18186
967,2008,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,5920,6098,5634
1843,1999,GF,HSF,Dental Aid,Adult Assured Access,,,14454,13580
1526,2007,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,8179,7444
82,2018,GF,HSF,Attention Homes,Basic Needs for At-Risk Youth,"Food, drop-in day services, emergency shelter, case management, counseling and family mediation & behavioral treatment plans for homeless youth",45000,45000,41939
1870,1997,GF,HSF,Attention Homes,Residential Homes,,,21500,19912
476,2013,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14981,14981,13982
1489,2004,GF,HSF,Boulder County Public Health,Genesis,,,118637,115470
1789,1996,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,5000,4891
1627,1998,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,30000,28932
1533,2003,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,17155,15854
1325,2002,GF,HSF,Boulder County Public Health,Genesis,,,138859,127983
59,2018,GF,CoIH,Postoley Dance Ensemble,Participatory Celebration,,1200,1100,1055
189,2017,HEF,HEF,Growe Foundation,Growe Garden to Table Program,"Funding will be used to cover annual costs (labor, maintenance, resources and summer patrols) for four school garden programs at Columbine, Creekside, University Hill and Whittier Elementary schools in Boulder. Funding will also be used to support training for families and teachers on the benefits of a healthy lifestyle.",15233,0,0
577,2012,GF,CEF,Boulder Jewish Festival,Boulder Jewish Festival,,1600,1600,1472
381,2016,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,"Tutoring & direct instruction, college, bilingual family outreach",54000,30000,28740
1317,2002,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,18234,17336
1021,2009,GF,YOP,CU Science Discovery,Outdoor Science Leadership Project,,7572,0,0
1695,2000,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,25000,24356
1456,2006,GF,HSF,BV Women's Health Center,Youth Program,,,30000,29726
304,2017,GF,IPD,Motus Theater,"History, Poetry & Presence",,1500,1500,1376
43,2019,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,"Bilingual preschool program with focus on diversity and multiculturalism, parent engagement, tuition & transportation subsidies",42000,42000,40447
95,2018,GF,HSF,Boulder Valley Women's Health Center,Subsidized Reproduction and Sexual Health Services and Education,Women's primary and reproductive health care & community education,125000,110000,103363
1701,1994,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,41366,38493
1404,2001,GF,HSF,Mental Health Partners,Middle Schools Family Counseling,,,68507,66552
539,2012,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,43432,43081
1469,2006,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,49010,45941
1921,1997,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,181101,163113
202,2016,GF,CEF,Intercambio de Comunidades,World Dance,,1500,1500,1391
137,2019,HEF,HEF,Boulder Valley School District,BVSD Nutrition Education and Farm-to-School Programming and Outreach,"Funding will be used for healthy eating and nutrition programs, and classroom gardens for city students.",52713,0,0
863,2008,GF,HSF,Boulder County Advocates for Transitional Housing,Transitional Housing (became part of Boulder Shelter for the Homeless),,,7500,7093
124,2019,HEF,HEF,Boulder County Public Health,SNAP Gap/Produce Plus,"Funding will provide vouchers to low-income city residents who are ineligible for SNAP benefits, to purchase fruits and vegetables at city retail grocers and farmers markets.",238230,238230,224569
1049,2011,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4558
1267,2004,GF,HSF,Dental Aid,Children and Youth Oral Health,,,19291,17960
398,2016,GF,HSF,Growing Gardens,Food Project,,10000,,0
138,2019,HEF,HEF,Bridge to Justice,Healthcare and Food Assistance,"Funding will be used to improve access for low-income residents to government health care, food and nutrition programs; and provide legal representation for benefit appeals.",179950,179950,176498
1788,1998,GF,HSF,Mental Health Partners,MESA Prevention Education,,,29067,27502
1468,2006,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,8179,7698
848,2009,GF,HSF,Attention Homes,Broadway Youth Shelter,,,19604,19569
1739,2000,GF,HSF,Boulder Shelter for the Homeless,Basic Needs,,,41200,40448
217,2018,GF,HSF,Growing Gardens,Growing Gardens Food Project,"Fresh produce, garden supplies and free/reduced cost garden plots",5000,0,0
418,2016,GF,YOP,Attention Homes,Inc. Ed. Ops for Homeless Youth,Provide instructor and materials for residents of Attention Homes in need of GED instruction.,15000,15000,14527
1552,2007,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,67252,65897
1037,2009,GF,YOP,I Have A Dream Foundation of Boulder County,Leading Through Service Program,,8660,,0
1175,2009,GF,HSF,Dental Aid,Children and Youth Oral Health,,,30970,30483
1164,2010,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,25000,24099
1441,2004,GF,HSF,Access Counseling (formerly The Counseling Center),Safe Exchange Program,,,5500,5216
1244,2005,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,157135,153881
1919,1997,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,18400,16990
1099,2009,GF,YOP,Open Studios,Open Studios Educational Links Program,,7500,0,0
1188,2009,GF,HSF,Mental Health Partners,MESA Prevention Education,,,28426,26108
1471,2006,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,51294
149,2019,HEF,HEF,Family Learning Center,Promoting Health and Fitness for Low-Income Families,"Funding will be used for fresh food distribution, healthy eating classes, and children and adult physical fitness activities for low-income and minority city residents.",100000,72000,68780
1111,2011,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,18000,16540
1178,2009,GF,HSF,Emergency Family Assistance Association,Shelter,,,54500,52383
1122,2007,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,21108,20308
1573,2007,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,52799,47732
506,2014,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,56535
1389,2001,GF,HSF,Dental Aid,Children and Youth Oral Health,,,18291,17696
1548,2001,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,17155,16406
1853,1999,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,78750,78607
1626,1998,GF,HSF,Boulder Day Nursery,Infant Early Learning Program,,,11250,10716
1716,1999,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,27200,26958
174,2017,HEF,HEF,Boulder County Food Rescue,Healthy Food Redistribution,"Funding will be used to expand food donation trainings, increase outreach at food recipient sites, and acquire equipment needed to expand healthy food redistribution programs. Increased food donation will be delivered, by bicycle, to low-income housing community sites, pre-schools and daycares, and senior homes.",45000,45000,44799
1640,1998,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,45193,41850
1829,1997,GF,HSF,Mental Health Partners,Family and Community Child Care,,,12385,11159
1667,1995,GF,HSF,Clinica Campesina Family Health Care Services,Eldercare,,,13000,12952
1643,1998,GF,HSF,Clinica Campesina Family Health Care Services,Adult Program,,,141025,139209
1193,2009,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,44910,41040
425,2016,GF,YOP,Colorado Film Society,Youth Advisory Council and Youth Pavilion,Funding for personnel and supplies to support the Youth Advisory Council for the Boulder International Film Festival and the Cinema to Schools Program.,3180,0,0
1242,2005,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,120761,109778
714,2014,GF,YOP,Boulder Judo Training Center,The Aim Higher Project,Provide a sports-focused alternative community placement program for at- risk youth.,13648,10648,10060
332,2017,GF,CoIH,Boulder Asian Pacific Alliance (BAPA),BAPA Celebration of Immigrant Heritage Week,,1500,1500,1362
1439,2006,GF,HSF,Boulder County Public Health,Genesis,,,125000,120283
1915,1997,GF,HSF,BV Women's Health Center,Youth Program,,,13000,12586
1648,1998,GF,HSF,Community Action Development Corporation,Parent Leadership Training,,,6500,6499
1264,2001,GF,HSF,Center for People with Disabilities (CPWD),After School Club,,,5000,4717
1747,2000,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,18900,17582
706,2014,GF,YOP,Boulder High School,"Sí, se puede!","Provide mentoring, college preparation and college application support for first generation college students.",9509,9509,8901
98,2018,GF,HSF,Children First of the Rockies,SAFE Services,Supervised exchanges and visits between custodial and noncustodial parents for court-ordered families,10000,10000,9956
132,2019,HEF,HEF,Boulder Parks and Recreation,Recquity Pass Program,"Funding will fully-subsidize recreation center passes to low-income residents, and provide bilingual community liaisons to support residents and achieve program outcomes.",299190,150000,142517
1519,2003,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,18234,16997
316,2018,HEF,HEF,Boulder Parks and Recreation Foundation Inc.,PLAYpass,"Funding will be used to train BPR staff in SPARK programming. Trainers will then travel to Ponderosa and Orchard Grove neighborhoods and the BVSD Summer Learning Program to deliver structured lessons that encourages increased physical activity. Additional funds will be used for program support staff, curriculum purchase, healthy snacks and general supplies.",336548,150000,145332
292,2017,GF,HSF,I Have A Dream Foundation of Boulder County,Dream Big - Oak Dreamers,,0,46188,42019
1958,1996,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,5500,5092
1698,1994,GF,HSF,Boulder Shelter for the Homeless,Basic Needs,,,11500,11051
629,2015,GF,YOP,The Bridge Teen Coffeehouse,Bettering Tomorrow,Provide funding internships for two high school students and supplies to support free events for teens,5996,0,0
921,2011,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,67645,64334
1771,2000,GF,HSF,Mental Health Partners,Family and Community Child Care,,,26990,26015
1125,2011,GF,HSF,Dental Aid,Adult Assured Access,,,70406,70320
1688,1995,GF,HSF,United Black Women of Boulder Valley,Institute for African American Leadership,,,16000,14415
1775,2000,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,148249,134162
1236,2005,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,73515,72328
721,2014,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,Facilitate the positive development of low income youth by connecting them to experiences that will empower them to make positive choices for healthy lifestyle.,13795,13000,12006
1694,1994,GF,HSF,Boulder County Housing and Human Services,Project Self-Sufficiency,,,8000,7893
448,2015,GF,CoIH,Boulder Latino Family Project,Boulder County Latino History Project Reception,,1500,1150,1036
1130,2007,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,15000,14659
615,2012,GF,YOP,Boulder High School,"Sí, se puede!","Career counselor/college & exam prep coach, standardized test fees for Latino students.",7634,7634,7368
647,2013,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,30000,29471
127,2019,HEF,HEF,Boulder Ensemble Theater Company,HealthInfo Planetarium Project,"Funding will be used for a health-focused theater production and educational display, based on narratives and stories from city residents experiencing health disparities, to increase knowledge and encourage healthy behaviors.",121669,0,0
1639,1998,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,18400,17674
1151,2011,GF,YOP,Growing Gardens,Cultiva Youth Project,"Provide stipends to involve diverse teenagers in organic gardening as a means to teach sustainable agriculture, leadership, entrepreneurial and life skills.",14474,14474,13394
978,2008,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,16000,14532
1625,1998,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,10000,9202
1603,1999,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,31500,29282
1120,2007,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,29568,27057
1318,2002,GF,HSF,Access Counseling (formerly The Counseling Center),Safe Exchange Program,,,15000,14537
1811,1996,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,61000,55590
1290,2007,GF,YOP,Sals Amigos,Sals Amigos Dance and Music Programs,,17620,8542,7889
1360,2002,GF,HSF,Emergency Family Assistance Association,Shelter,,,61655,60849
185,2017,HEF,HEF,Community Food Share,Fresh is Best,"Funding will be used to purchase 222,000 lbs. of fresh produce with a portion of funds purchasing 58,000 lbs. of produce from local farmers, to increase fruit and vegetable consumption to food insecure children and families.",66085,66085,61006
79,2018,GF,HRF,The Blind Café,Dismantling Racism Workshop In The Dark,,5000,2500,2343
1590,2003,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,10000,9242
985,2008,GF,HSF,Community Food Share,Food Procurement and Distribution,,,10000,9998
511,2013,GF,YOP,Parlando School For The Arts,Music Education Accessibility Project,"Train high school students to teach music to students on tuition assistance, provide tuition assistance and advanced instruction at Boulder High School and Casey Middle School band students by subsidizing the cost of professional instructors.",7450,7450,7205
865,2009,GF,YOP,Boulder Museum of Contemporary Art,Engage & Reflect:  The Studio Project,,12500,9682,8756
1833,1999,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,18860,18490
190,2017,HEF,HEF,Growing Gardens,Promoting Healthy Eating,"Funding will be used to hire an additional Peace Garden Educator tasked with outreach to Boulder schools to provide farm tours and in-school presentations. Funds will also be used to support the collection of excess produce at the Boulder County Famers Market to distribute directly to low-income families. Outreach to Boulder schools (Creekside, University Hill, Columbine and Whittier).",30454,30454,29289
963,2010,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,22050,20527
1705,1994,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,4650,4365
167,2017,GF,YOP,Boulder Valley Women's Health Center,Sexual Health and AIDS Awareness Peer Education (SHAPE) Program,"Provide educators, supplies and retreat costs to train youth to educate their peers to reduce their risk of sexually transmitted diseases or unwanted pregnancies.",11000,11000,10346
1448,2006,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,26995,26151
1348,2001,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,160420,157923
1561,2007,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,177449,165810
627,2012,GF,CEF,Dental Aid,Community BBQ w/free dental screenings and cleanings (0-20 years old),,1500,1500,1465
1632,1998,GF,HSF,Bridge House,Basic Needs,,,9892,9029
747,2014,GF,HSF,Attention Homes,Basic Needs for At-Risk Youth,"Food, drop-in day services, emergency shelter, case management, counseling and family mediation & behavioral treatment plans for homeless youth",,40000,36124
1085,2011,GF,HSF,Boulder Valley School District,Teen Parent Program,,,25000,24011
630,2013,GF,HSF,Intercambio de Comunidades,El Grupo de Familias,,,11000,10550
794,2015,GF,HSF,YWCA,Latina Achievement Support,,,25000,24083
1423,2004,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,158804,148091
925,2008,GF,YOP,Boulder County Arts Alliance,The Real Players,,12500,7358,7079
1157,2011,GF,YOP,Out Boulder County,BOLD (Boulder OUT Leadership Development),,12875,12875,11889
1818,1999,GF,HSF,Bridge House,Basic Needs,,,10139,9151
362,2016,GF,CoIH,Playback Theatre West,One Action 2016,,1430,1430,1319
92,2018,GF,HSF,Boulder Pride,Project Empowerment,"Transgender basic needs programs, support groups, and referral services",15000,15000,14003
1859,1998,GF,HSF,Women's Source,,,,22000,20360
373,2016,GF,HSF,Boulder County Public Health,Genesis,"Individualized parenting ed., social/emotional & developmental screening for babies & case mgmt",50000,40000,39572
396,2016,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,"Academic case mgmt, college prep classes & services, summer & school year academic support",14150,10000,9723
178,2017,HEF,HEF,Boulder Valley School District,Trip Tracker,"Trip tracker is a student earned rewards program for taking alternate transportation to school rather than a single-family car. Students can use their Trip Tracker dollars like cash at 70 participating businesses or donate to 9 nonprofit organizations. Funding will be used to reimburse businesses and organizations for the dollars they accept from students, at 50 cents on the dollar, at Columbine and University Hill during fall 2017.",5600,5600,5492
1029,2009,GF,YOP,"Frequent Flyers Productions, Inc.",Kids Who Fly,,7111,0,0
596,2012,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,,,25000,23013
1113,2011,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,22000,19933
413,2016,GF,YOP,Arapahoe Ridge High School,REAL,Support student leadership and positive youth-adult relationships by funding staff support and supplies to implement a Positive Behavioral Intervention Support program.,14939,14939,13900
1787,1996,GF,HSF,Dental Aid,Children and Youth Oral Health,,,15000,13901
772,2015,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,39000,37099
696,2012,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,18000,16279
1032,2008,GF,YOP,Casey Middle School,Community Leadership:  A Process Approach,,14970.6,0,0
1685,1995,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Choices and Change,,,15000,14211
279,2017,GF,HSF,Bridge to Justice,Post Decree Services,,0,5000,4974
432,2016,GF,YOP,Parlando School For The Arts,BVSD Music Support Program,Provide funding for professional musicians to teach middle and high school students enrolled in the BVSD music program and provide free in school private lessons to students in need.,9600,0,0
1374,2006,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,34307,31826
1911,1997,GF,HSF,Boulder Shelter for the Homeless,Basic Needs,,,25700,25295
482,2015,GF,YOP,Boulder Young Entrepreneurs Club,Launching Pad,,15000,0,0
1323,2002,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,17155,16450
579,2013,GF,HSF,FOCUS Reentry,FOCUS Re-entry,,,5000,4956
505,2015,GF,YOP,Earth Explorers,Earth Explorers YMCA,Project to modify existing semester long STEM programming for middle school students and collaborate with YMCA to provide programming during Wednesday late start.,15000,0,0
1684,1995,GF,HSF,Partners of Boulder County,One-To-One Mentoring,,,5000,4797
906,2009,GF,YOP,Boulder Valley Women's Health Center,Sexual Health and AIDS Awareness Peer Education (SHAPE) Program,,13700.72,9583,9458
323,2018,HEF,HEF,Emergency Family Assistance Association,Shelter and Basic Needs,"Funding will be used to purchase and provide 100 meals per week for distribution in the food pantry, provide nutrition education materials at EFAA, teach bi-monthly nutrition classes and purchase l food for distribution in the food pantry. Additional funding will be used for promotional materials, program staff time and evaluation.",47062,47062,43566
339,2017,GF,HOM,Mental Health Partners,Project Edge,Criminal justice diversion for individuals with behavioral health challenges,0,142000,129178
628,2015,GF,HSF,Community Action Development Corporation,Circles Campaign,,,11265,10995
1933,1997,GF,HSF,Women's Source,,,,22000,20162
1531,2001,GF,HSF,Attention Homes,Residential Homes,,,25091,24011
1401,2001,GF,HSF,Mental Health Partners,Community Infant Program,,,58720,56219
1664,1995,GF,HSF,City of Boulder Children Youth and Families,Child Care Network,,,33716,32433
239,2018,GF,IPD,Right Relationship Boulder,Welcome the Arapaho People Home,,1500,750,742
1181,2009,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,,,25000,23525
1229,2005,GF,HSF,Boulder Day Nursery,Infant Early Learning Program,,,26466,25636
1675,1995,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,75000,67656
1831,1999,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,25000,22705
1119,2011,GF,HSF,City of Boulder Senior Services,Senior Resources - Bilingual Caseworker,,,22013,19852
866,2011,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,52082
837,2012,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,12725,13107,12173
513,2012,GF,HSF,Boulder Shelter for the Homeless,Transitional Housing,,,8000,7801
675,2013,GF,HSF,Mental Health Partners,Community Infant Program,,,62982,61955
744,2014,GF,CoIH,Motus Theater,Immigrant Stories,,1500,1500,1423
309,2018,HEF,HEF,Boulder County Housing and Human Services,Child Care Assistance Program,"Funding will be used to subsidize child care for at least 25 City of Boulder children ages 0 - 5, who are eligible for CCAP and who have been on a CCAP waitlist. The children will be served in high-quality child care facilities that provide a foundation for short- and long-term positive health outcomes.",325000,325000,321017
637,2014,GF,HSF,YWCA,Children's Alley,,,70000,69851
1690,1995,GF,HSF,YWCA,Children's Alley,,,47623,44421
301,2017,GF,IPD,American Indian Youth Leadership Institute,IPD Open House Celebration with NARF and AIYLA,,1500,1500,1388
1118,2008,GF,YOP,YWCA,The Puente (Bridge) Program,,15000,0,0
1279,2004,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,43913,41043
1545,2001,GF,HSF,Boulder County Housing and Human Services,Project Self-Sufficiency,,,15914,15326
1849,1999,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,17425,16455
1585,2007,GF,YOP,Impact on Education,Music Pathways,,10119,10119,9937
1482,2004,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,17155,15858
930,2012,GF,YOP,Parlando School For The Arts,Music Education Accessibility Project,"Train high school students to teach music to students on tuition assistance, provide tuition assistance and advanced instruction at Boulder High School and Casey Middle School band students by subsidizing the cost of professional instructors.",15000,0,0
